"run_started_at","departure_key","filter_id","country","region","departure_date","return_date","nights","origin_scope","pax_profile","days_to_departure","offer_count","hotel_count","min_price","p10_price","p25_price","median_price","max_price","below_10000_count","below_8000_count","prev_min_price","prev_p10_price","prev_median_price","min_change_pct","p10_change_pct","median_change_pct","hotel_count_delta","common_hotel_count","avg_deal_score","mean_avg_delta_pct","hot_deal_count","good_deal_count","median_ta_rating","ta_rated_hotel_count","hot_score"
"2026-08-26T18:53:07+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa","2+1","120.0","12.0","12.0","8341.0","9948.6","10028.25","10386.5","10913.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","12.0","0.0"
"2026-08-26T21:31:23+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","120.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-26T21:31:23+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","120.0","5.0","5.0","8887.0","8959.0","9067.0","9670.0","10377.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","3.0","0.0"
"2026-08-26T21:31:23+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa","2+1","120.0","5.0","5.0","9325.0","9392.6","9494.0","9727.0","10919.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.25","4.0","0.0"
"2026-08-26T21:31:23+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","125.0","3.0","3.0","9947.0","9983.0","10037.0","10127.0","10857.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","2.0","0.0"
"2026-08-26T21:31:23+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","120.0","1.0","1.0","9825.0","9825.0","9825.0","9825.0","9825.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","1.0","0.0"
"2026-08-26T21:31:23+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa","2+1","120.0","12.0","12.0","8341.0","9948.6","10028.25","10386.5","10913.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","12.0","0.0"
"2026-08-27T02:27:44+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-27T02:27:44+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","119.0","5.0","5.0","8887.0","8959.0","9067.0","9670.0","10377.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","3.0","0.0"
"2026-08-27T02:27:44+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","5.0","5.0","9325.0","9392.6","9494.0","9727.0","10919.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.25","4.0","0.0"
"2026-08-27T02:27:44+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","124.0","3.0","3.0","9947.0","9983.0","10037.0","10127.0","10857.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","2.0","0.0"
"2026-08-27T02:27:44+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","119.0","1.0","1.0","9825.0","9825.0","9825.0","9825.0","9825.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","1.0","0.0"
"2026-08-27T02:27:44+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","12.0","12.0","8341.0","9948.6","10028.25","10386.5","10913.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","12.0","0.0"
"2026-08-27T10:16:43+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-27T10:16:43+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","119.0","5.0","5.0","8887.0","8959.0","9067.0","9670.0","10377.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","3.0","0.0"
"2026-08-27T10:16:43+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","5.0","5.0","9325.0","9392.6","9494.0","9727.0","10919.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.25","4.0","0.0"
"2026-08-27T10:16:43+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","124.0","3.0","3.0","9947.0","9983.0","10037.0","10127.0","10857.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","2.0","0.0"
"2026-08-27T10:16:43+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","119.0","1.0","1.0","9825.0","9825.0","9825.0","9825.0","9825.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","1.0","0.0"
"2026-08-27T10:16:43+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","12.0","12.0","8341.0","9948.6","10028.25","10386.5","10913.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","12.0","0.0"
"2026-08-27T13:06:18+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-27T13:06:18+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","119.0","5.0","5.0","8887.0","8937.4","9013.0","9439.0","10377.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","3.0","0.0"
"2026-08-27T13:06:18+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","5.0","5.0","9325.0","9392.6","9494.0","9727.0","10919.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.25","4.0","0.0"
"2026-08-27T13:06:18+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","124.0","2.0","2.0","10127.0","10147.0","10177.0","10227.0","10327.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"2026-08-27T13:06:18+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","119.0","5.0","5.0","9428.0","9428.0","9428.0","9825.0","10070.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.2","5.0","0.0"
"2026-08-27T13:06:18+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","12.0","12.0","8341.0","9948.6","10028.25","10386.5","10913.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","12.0","0.0"
"2026-08-27T13:22:52+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-27T13:22:52+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","119.0","5.0","5.0","8887.0","8937.4","9013.0","9439.0","10377.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","3.0","0.0"
"2026-08-27T13:22:52+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","5.0","5.0","9325.0","9392.6","9494.0","9727.0","10919.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.25","4.0","0.0"
"2026-08-27T13:22:52+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","124.0","2.0","2.0","10127.0","10147.0","10177.0","10227.0","10327.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"2026-08-27T13:22:52+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","119.0","5.0","5.0","9428.0","9428.0","9428.0","9825.0","10070.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.2","5.0","0.0"
"2026-08-27T13:22:52+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","12.0","12.0","8341.0","9948.6","10028.25","10386.5","10913.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","12.0","0.0"
"2026-08-27T15:41:38+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-27T15:41:38+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","119.0","5.0","5.0","8887.0","8897.4","8913.0","9339.0","10377.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","3.0","0.0"
"2026-08-27T15:41:38+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","5.0","5.0","9325.0","9392.6","9494.0","9727.0","10919.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.25","4.0","0.0"
"2026-08-27T15:41:38+0000","egipt|marsa-alam|2026-12-28|2027-01-04|7|Warszawa - Modlin|2+1","","egipt","marsa-alam","2026-12-28","2027-01-04","7.0","Warszawa - Modlin","2+1","123.0","2.0","2.0","10033.0","10071.4","10129.0","10225.0","10417.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.6","2.0","0.0"
"2026-08-27T15:41:38+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","124.0","2.0","2.0","10127.0","10147.0","10177.0","10227.0","10327.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"2026-08-27T15:41:38+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","119.0","1.0","1.0","9825.0","9825.0","9825.0","9825.0","9825.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","1.0","0.0"
"2026-08-27T15:41:38+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","12.0","12.0","8341.0","9948.6","10028.25","10386.5","10913.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","12.0","0.0"
"2026-08-27T23:24:49+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-27T23:24:49+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","119.0","5.0","5.0","8887.0","8897.4","8913.0","9339.0","10127.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","3.0","0.0"
"2026-08-27T23:24:49+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","5.0","5.0","9325.0","9392.6","9494.0","9727.0","10919.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.25","4.0","0.0"
"2026-08-27T23:24:49+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","124.0","2.0","2.0","10127.0","10147.0","10177.0","10227.0","10327.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"2026-08-27T23:24:49+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","119.0","1.0","1.0","9825.0","9825.0","9825.0","9825.0","9825.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","1.0","0.0"
"2026-08-27T23:24:49+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa","2+1","119.0","12.0","12.0","8341.0","9948.6","10028.25","10386.5","10913.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","12.0","0.0"
"2026-08-28T05:44:15+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","118.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-28T05:44:15+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","118.0","5.0","5.0","8887.0","8897.4","8913.0","9339.0","10127.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","3.0","0.0"
"2026-08-28T05:44:15+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa","2+1","118.0","5.0","5.0","9325.0","9392.6","9494.0","9727.0","10919.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.25","4.0","0.0"
"2026-08-28T05:44:15+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","123.0","1.0","1.0","10327.0","10327.0","10327.0","10327.0","10327.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"2026-08-28T05:44:15+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","118.0","1.0","1.0","9825.0","9825.0","9825.0","9825.0","9825.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","1.0","0.0"
"2026-08-28T05:44:15+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa","2+1","118.0","12.0","12.0","8341.0","9948.6","10028.25","10386.5","10913.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","12.0","0.0"
"2026-08-28T06:04:41+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","118.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-28T06:04:41+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","118.0","5.0","5.0","7939.0","8142.6","8448.0","8887.0","10127.0","4.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","3.0","0.0"
"2026-08-28T06:04:41+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa","2+1","118.0","5.0","5.0","9325.0","9392.6","9494.0","9727.0","10919.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.25","4.0","0.0"
"2026-08-28T06:04:41+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","123.0","1.0","1.0","10327.0","10327.0","10327.0","10327.0","10327.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"2026-08-28T06:04:41+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","118.0","1.0","1.0","9825.0","9825.0","9825.0","9825.0","9825.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","1.0","0.0"
"2026-08-28T06:04:41+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa","2+1","118.0","12.0","12.0","8341.0","9948.6","10028.25","10386.5","10913.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","12.0","0.0"
"<<<<<<< Updated upstream","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-08-28T07:53:00+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","118.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-28T07:53:00+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","118.0","5.0","5.0","7939.0","8142.6","8448.0","8887.0","10127.0","4.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","3.0","0.0"
"2026-08-28T07:53:00+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa","2+1","118.0","5.0","5.0","9325.0","9392.6","9494.0","9727.0","10919.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.25","4.0","0.0"
"2026-08-28T07:53:00+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","123.0","1.0","1.0","10327.0","10327.0","10327.0","10327.0","10327.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"2026-08-28T07:53:00+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","118.0","1.0","1.0","9825.0","9825.0","9825.0","9825.0","9825.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","1.0","0.0"
"2026-08-28T07:53:00+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa","2+1","118.0","12.0","12.0","8341.0","9948.6","10028.25","10386.5","10913.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","12.0","0.0"
"=======","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-08-28T08:10:48+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","118.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-28T08:10:48+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","118.0","5.0","5.0","7939.0","8142.6","8448.0","8887.0","10127.0","4.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","3.0","0.0"
"2026-08-28T08:10:48+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7.0","Warszawa","2+1","118.0","5.0","5.0","9325.0","9392.6","9494.0","9727.0","10919.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.25","4.0","0.0"
"2026-08-28T08:10:48+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","123.0","1.0","1.0","10327.0","10327.0","10327.0","10327.0","10327.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"2026-08-28T08:10:48+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7.0","Warszawa - Modlin","2+1","118.0","1.0","1.0","9825.0","9825.0","9825.0","9825.0","9825.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","1.0","0.0"
